No.;name;comment;price;sizes;availability;expiry;Visibility;Revise;category;image
#64506;ES1178-WH-GP;Blume GP, 4 Navet Zirkonia;9,50€;ca. 14 mm;NEW;2023. 12. 31.;visible;;190;/64506
#64505;ES1178-WH;Blume, 4 Navet Zirkonia;8,50€;ca. 14 mm;NEW;2023. 12. 31.;visible;;190;/64505
#64504;PS1356-WH-GP;Blume GP, 4 Navet Zirkonia, Anhänger mit Schlaufe;8,50€;ca. 19 mm;NEW;2023. 12. 31.;visible;;190;/64504
#64503;PS1356-WH;Blume, 4 Navet Zirkonia, Anhänger mit Schlaufe;7,50€;ca. 19 mm;NEW;2023. 12. 31.;visible;;190;/64503
#64502;NP-C-10496-42+3CM;Collier mit Herz, Puzzle, Blume, Platte;10,00€;42+3 cm;NEW;2023. 12. 31.;visible;;190;/64502
#64501;NP872ST-GP;Collier mit 7 Plättchen;43,50€;45+3 cm;NEW;2023. 12. 31.;visible;;190;/64501
#64500;NP872ST;Collier mit 7 Plättchen;33,50€;45+3 cm;NEW;2023. 12. 31.;visible;;190;/64500
#64499;NS166-40+5CM;Kreis mit Zirkonia;20,50€;40+5 cm;NEW;2023. 12. 31.;visible;;190;/64499
#64498;NS165-40+5CM;Kreis im Kreis mit weißem Zirkonia;29,50€;40+5cm;NEW;2023. 12. 31.;visible;;190;/64498
#64497;RS937-WH;Vintage Stil mit Zirkonia;11,00€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;#NV;/64497
#64496;RP1421;Zaunmuster mit Navette und kleinen Kugeln;8,50€;Gr. 52, 54, 56, 58, 60, 62, 64;;;visible;;#NV;/64496
#64495;RS917-G-GEB-WHP;Runde Platte, Glanz/Gebürstet mit Perle;18,00€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;317;/64495
#64494;RS917-G-GEB-WH;Runde Platte, Glanz/Gebürstet mit WHcz;17,00€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;#NV;/64494
#64493;RS948-WHP;2-Reihig mit Perle Steg;9,75€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;317;/64493
#64492;RSN60-TUERKIS;Ovaler Siegelring, Türkis (SALE);15,00€;Gr. 56, 62, 64, 66, 68, 70, 72;SALE;;visible;;#NV;/64492
#64491;RSN60-ONYX;Ovaler Sigelring, Onyx (SALE);15,00€;Gr. 54, 56, 58, 60, 62, 64, 66, 68, 70, 72,;SALE;;visible;;#NV;/64491
#64490;RSN001-GRANAT;Ovaler Granat Ring;19,50€;Gr. 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63;;;visible;;#NV;/64490
#64489;RS946-WH;Offener Ring, 2 rechteckige Zirkonia;9,00€;Gr. 52, 54, 56, 58, 60, 62, 64;;;visible;;#NV;/64489
#64488;RS946-RUBY;Offener Ring, 2 rechteckige Zirkonia, Ruby;9,00€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;#NV;/64488
#64487;RS946-GRANAT;Offener Ring, 2 rechteckige Zirkonia, Granat;9,00€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;#NV;/64487
#64486;RS947-BLAU;Rechteckiger Zirkonia Blau;7,75€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;#NV;/64486
#64485;RS947-GRUEN;Rechteckiger Zirkonia Grün Emerald;7,75€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;#NV;/64485
#64484;RS947-WH;Rechteckiger Zirkonia;7,75€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;#NV;/64484
#64483;RS947-GRANAT;Rechteckiger Zirkonia Granat;7,75€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;#NV;/64483
#64482;RS947-RUBYRED;Rechteckiger Zirkonia Rubyred;7,75€;Gr. 52, 54, 56, 58, 60, 62;;;visible;;#NV;/64482
#64481;ESN007-LABRADORITE;Tropfen Labradorite Ohrhänger;10,50€;Höhe: 16 mm;;;visible;;#NV;/64481
#64480;H1899;Blume Rahmen mit Karabiner;4,50€;14 x 14 mm;;;visible;;9;/64480
#64479;H096-ENGEL;Engel mit Akkordium mit Karabiner;6,00€;Höhe: 21 mm;;;visible;;181,217,9;/64479
#64478;PP3294;Offener Stern Anhänger mit Schlaufe;5,00€;Höhe: ca. 11 mm;;;visible;;#NV;/64478
#64477;PS1352-BLAUER-OPAL;Anker mit blauem Opal;6,50€;Höhe: ca. 22 mm;;;visible;;223;/64477
#64476;EP2769;2 Quadrate, 1 voll, 1 leer;6,00€;Höhe: 15 mm;NEW;2023. 11. 30.;visible;;319;/64476
#64475;EP1481-M;Spirale, Matt, Ohrstecker (Set);8,00€;Ø: ca.11mm;;;visible;;#NV;/64475
#64474;EP2066-M-GP;Mini Smiley Ohrstecker, goldplattiert;6,00€;Ø: 6 mm;;;visible;;217;/64474
#64473;ES1108-GP-NASENSTECKER;Nasenstecker GP mit WHcz;3,00€;;;;visible;;320;/64473
#64472;ES1108-WH-NASENSTECKER;Nasenstecker mit WHcz;2,00€;;;;visible;;320;/64472
#64471;ERSQ6X6-PK;Ohrstecker Square Pink Zirkonia;2,00€;6 x 6 mm;;;visible;;#NV;/64471
#64470;VERLAENGERUNG;Verlängerung 3,5cm, 5er Pack/Stück 0,80€;4,00€;3,5 cm;;;visible;;9;/64470
#64469;ES731-AM;Square Zirkonia Stecker, lila;3,00€;3 x 3 mm;;;visible;;#NV;/64469
#64468;ES731-R;Square Zirkonia Stecker, rot;3,00€;3 x 3 mm;;;visible;;#NV;/64468
#64467;ES731-CH;Square Zirkonia Stecker, champagner;3,00€;3 x 3 mm;;;visible;;#NV;/64467
#64466;ES731-WH;Square Zirkonia Stecker, weiß;4,00€;3 x 3 mm;;;visible;;#NV;/64466
#64465;ES731-LG;Square Zirkonia Stecker, hellgrün;3,00€;3 x 3 mm;;;visible;;#NV;/64465
#64464;ES731-BLK;Square Zirkonia Stecker, schwarz;3,00€;3 x 3 mm;;;visible;;#NV;/64464
#64463;ES416-LG;Zargen Fassung, Zirkonia;4,50€;Zirkonia Rund: 4 mm;;;visible;;#NV;/64463
#64462;ES416-AM;Zargen Fassung, Zirkonia;4,50€;Zirkonia Rund: 4 mm;;;visible;;#NV;/64462
#64461;ES416-OL;Zargen Fassung, Zirkonia;4,50€;Zirkonia Rund: 4 mm;;;visible;;#NV;/64461
#64460;EP2822ST;Delfin Ohrstecker;3,50€;Höhe: 8 mm;NEW;2023. 11. 30.;visible;;#NV;/64460
#64459;ES739PST-GREY;Süßwasserperle grau;6,50€;ca. 8 mm;NEW;2023. 11. 30.;visible;;317;/64459
#64458;ESN37-RAUCHQUARZ;Ohrhänger Rauchquarz, rund, geschliffen (SALE);5,75€;Höhe: ca. 20 mm;SALE;;visible;;228,303;/64458
#64457;ESN006-MONDSTEIN;Mondstein Lotus Blume, Ohrhänger;10,50€;Höhe: ca. 19 mm;;;visible;;#NV;/64457
#64456;ESN003-MORGONITE;Morgonite Ohrhänger;14,50€;Höhe: ca. 16 mm;;;visible;;#NV;/64456
#64454;ES1174-WH;Rechteckiger Zirkonia;5,00€;3 x 7 mm;NEW;2023. 11. 30.;visible;;190;/64454
#64453;EP2771-GP;Eckiger Stab, goldplattiert;6,00€;12 mm;NEW;2023. 11. 30.;visible;;190;/64453
#64452;EP2771;Eckiger Stab, glänzend;4,75€;12 mm;NEW;2023. 11. 30.;visible;;190;/64452
#64451;ES1184ST-PERLMUTT;Fisch mit Perlmutt, Ohrstecker;5,25€;ca. 9 mm;NEW;2023. 11. 30.;visible;;190;/64451
#64450;EP2770-GP;Eckige Halbcreolen mit Stecker, Goldplattiert;8,50€;Höhe: 16 mm;NEW;2023. 11. 30.;visible;;190;/64450
#64449;ES1105ST-WHP;Stab mit Perle, Ohrstecker;6,00€;Stab: 20 mm, Perle: 3 mm;;;visible;;317;/64449
#64448;BS341-GP-WH;Dünner Armreif mit WHcz, Goldplattiert;12,50€;;SOLD OUT;;hidden;;190,22,27,6;/64448
#64447;ES1184ST-ABALONE;Fisch mit Abalone Ohrstecker;5,25€;ca. 9 mm;NEW;2023. 11. 30.;visible;;190;/64447
#64446;EP2770;Eckige Halbcreolen mit Stecker;7,00€;Höhe: 16 mm;NEW;2023. 11. 30.;visible;;190;/64446
#64445;ES1105-WHP-GP;Stab mit Perle, Ohrstecker, Goldplattiert;7,00€;Stab: 20 mm, Perle: 3 mm;;;visible;;317;/64445
#64443;EP2669;Pferdekopf Ohrstecker;5,50€;Höhe: ca. 9 mm;NEW;2023. 11. 30.;visible;;190,217;/64443
#64442;EP2809ST;Halbcreole;8,50€;19 mm;;;visible;;190;/64442
#64441;EPEN031-HBLAU;Mini Seestern, emaille;4,50€;ca. 5 mm;NEW;2023. 11. 30.;visible;;190;/64441
#64440;ES1185ST-ABL;Muschel mit Abalone;6,50€;ca. 10 mm;NEW;2023. 11. 30.;visible;;190;/64440
#64439;ES1185ST-PERLMUTT;Muschel mit Perlmutt;6,50€;ca. 10 mm;NEW;2023. 11. 30.;visible;;190;/64439
#64438;ES1185ST-MULTI;Muschel mit farbigem Perlmutt/Multi;6,50€;ca. 10 mm;NEW;2023. 11. 30.;visible;;190;/64438
#64437;ES1183ST-PERLMUTT;Fischgräte mit Perlmutt;5,50€;ca. 13 mm;NEW;2023. 11. 30.;visible;;190;/64437
#64436;ES1183ST-ABALONE;Fischgräte mit Abalone;5,50€;ca. 13 mm;NEW;2023. 11. 30.;visible;;190;/64436
#64435;PS1361-BLAUERPERLMUTT;Seepferd mit Blauerperlmutt Inlay;11,00€;42 mm;NEW;2023. 11. 30.;visible;;190;/64435
#64434;PS1361-PERLMUTT;Seepferd mit Perlmutt Inlay;11,00€;42 mm;NEW;2023. 11. 30.;visible;;190;/64434
#64433;EP2631;Creole mit Kügelchen;7,50€;13 mm;NEW;2023. 11. 30.;visible;;190;/64433
#64432;EP2766;Wavy Stick, Glanz;8,25€;ca. 28 mm;NEW;2023. 11. 30.;visible;;190;/64432
#64431;EP2816ST;Twisted Halbcreole;8,50€;20 mm;NEW;2023. 11. 30.;visible;;190;/64431
#64430;EP2812ST;Halbcreole Matt;10,50€;15 x 8 mm;NEW;2023. 11. 30.;visible;;190;/64430
#64429;EP2813ST;Halbcreole Matt;9,50€;15 x 6 mm;NEW;2023. 11. 30.;visible;;190;/64429
#64428;EP2817ST;Halbe U-Form Creole;12,50€;29 mm;;;visible;;190;/64428
#64427;EP2814ST;U-Form Creole, geschwungen, matt;12,50€;31 mm;NEW;2023. 11. 30.;visible;;190;/64427
#64426;EP2808ST;Gehämmert, diamantiert, Creole;10,50€;;NEW;2023. 11. 30.;visible;;190;/64426
#64425;EP2803ST;Henkel Creole;14,50€;25 mm;;;visible;;190;/64425
#64424;EP2801ST;Breite Creolen;15,50€;30 x 11 mm;NEW;2023. 11. 30.;visible;;190;/64424
#64423;EP2805ST;Runde Creolen;22,50€;4 x 50 mm;NEW;2023. 11. 30.;visible;;190;/64423
#64422;EP2810ST;Halbcreole, geschwungen, gedreht;15,50€;29 mm;NEW;2023. 11. 30.;visible;;190;/64422
#64421;EP2807ST;Creolen;12,00€;30 x 3 mm;NEW;2023. 11. 30.;visible;;190;/64421
#64420;EP2806ST;Creolen;20,50€;4,5 x 50 mm;NEW;2023. 11. 30.;visible;;#NV;/64420
#64419;EP2802ST;U-Form;10,50€;Höhe: 29 mm;NEW;2023. 11. 30.;visible;;190;/64419
#64418;EP2815ST;Rechteckig, draht Halbcreole;12,50€;34 mm;NEW;2023. 11. 30.;visible;;190;/64418
#64417;EP2811ST;Dünne Halbcreolen;18,50€;60 mm;NEW;2023. 11. 30.;visible;;190;/64417
#64416;EP2804ST;Massive Creolen;21,50€;34 x 5 mm;;;visible;;#NV;/64416
#64415;PP3289ST-M;Kugel, Matt, mit Schlaufe;8,50€;Ø: 14 mm;NEW;2023. 11. 30.;visible;;190;/64415
#64414;PP3289ST-GP-M;Kugel matt, goldplattiert, mit Schlaufe;10,50€;Ø: 14 mm;NEW;2023. 11. 30.;visible;;190;/64414
#64413;NS172-MOP-SWZ;Echtsteine, Silber, Süßwasserperle, Perlmutt;21,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64413
#64412;NS175-LAPIS-TUERKIS;Echtsteine, Silber, Süßwasserperle;16,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64412
#64411;NS172-LABRADORITE-SWZ;Echtsteine, Silber, Süßwasserperle, Labradorite;21,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64411
#64410;NS172-AMETHYST-SWZ;Echtsteine, Silber, Süßwasserperle, Amethyst;21,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64410
#64409;NS172-DRAGONJASPER;Echtsteine, Silber, Süßwasserperle, Dragonjasper;21,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64409
#64408;BS377-SWZ-JASPER;Echtsteine, Echtperle, elastisch, Jasper;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64408
#64407;NS174-SWZ-MULTI;Multicolor, Echtsteine, Sterlingkugel;18,50€;;NEW;2023. 11. 30.;visible;;190;/64407
#64406;NS173-LAPIS-SWZ-TQ;Echtsteine, Silber, Süßwasserperle, Lapis, Türkis;21,50€;42+3 cm;NEW;2023. 11. 30.;visible;;190;/64406
#64405;NS171-GP-SWZ-GARNET;Echtsteine, Granat, Suesswasserperle;22,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64405
#64404;NS171-GRANAT-SWZ;Echtsteine, Silber, Granat, Suesswasserperle;21,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64404
#64403;NS172-ONYX-SWZ;Echtsteine, Silber, Onyx, Suesswasserperle;21,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64403
#64402;NS172-KARNEOL-SWZ;Echtsteine, Silber, Karneol, Suesswasserperle;21,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64402
#64401;NS172-UNAKITE-SWZ;Echtsteine, Silber, Unakit, Suesswasserperle;21,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64401
#64400;NS172-RQ-SWZ;Echtsteine, Silber, Rosenquarz, Suesswasserperle;21,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64400
#64399;NS172-TG-SWZ;Silberkugel, Tigerauge, Suesswasserperle;21,50€;41+3 cm;NEW;2023. 11. 30.;visible;;190;/64399
#64398;BS397-SMILEY;elastisch, Perlmutt, Smiley schwarz;6,00€;;NEW;2023. 11. 30.;visible;;190,217,22,27,6;/64398
#64397;BS397-SCHUTZAUGE;elastisch, Perlmutt, Schutzauge;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,321,6;/64397
#64396;BS397-KLEEBLATT-BLK;Kleeblatt schwarz, elastisch, Perlmutt;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,389,6;/64396
#64395;BS397-KLEEBLATT;Kleeblatt, elastisch, Perlmutt;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,389,6;/64395
#64394;BS397-FATIMA-BLK;Hand der Fatima, elastisch, Perlmutt;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,321,6;/64394
#64393;BS397-FATIMA;Hand der Fatima, elastisch, Perlmutt;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,321,6;/64393
#64392;BS396-SWZ-HERZ;Perlen mit Herz und Kugel;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64392
#64391;BS396-RQ-HERZ;Rosenquarz Kugel mit Herz und Kugel;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64391
#64390;BS396-PERLMUTT-KREUZ;Perlmuttarmband, elastisch, MOP;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,321,6;/64390
#64389;BS395-SWZ-MALACHIT;Armband elastisch, Echtperle, Malachit;6,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64389
#64388;BS395-SWZ-TUERKIS;Armband elastisch, Echtperle, Tuerkis;6,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64388
#64387;BS395-SWZ-ONYX;Armband elastisch, Echtperle, Onyx;6,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64387
#64386;BS394-GOLDFLUSS-PERLMUTT;Armband elastisch, Perlmutt, Goldfluss;6,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64386
#64385;BS393-PERLMUTT;Armband elastisch, 4 Muscheln, Perlmutt;6,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64385
#64384;BS392-TUERKIS;Kugelarmband mit Tuerkismuschel;12,50€;Kugel 3 mm;NEW;2023. 11. 30.;visible;;190,22,27,6;/64384
#64383;BS392-PERLMUTT;Kugelarmband mit Perlmuttmuschel;12,50€;Kugel 3 mm;NEW;2023. 11. 30.;visible;;190,22,27,6;/64383
#64382;BS392-MIX-PERLMUTT;Kugelarmband mit Mix-Perlmuttmuschel;12,50€;Kugel 3 mm;NEW;2023. 11. 30.;visible;;190,22,27,6;/64382
#64381;BS391-SWZ-GARNET;Echtsteine, Süsswasserperle, elastisch;8,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64381
#64380;BS391-GP-SWZ-GARNET;Echtsteine, Süsswasserperle, elastisch;9,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64380
#64379;BS390-GOLDFLUSS-PERLMUTT;Armband elastisch, Goldfluss, Perlmutt;6,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64379
#64378;BS389-PERLMUTT-4HERZE;Perlmuttarmband mit 4 Perlmuttherze, elastisch;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64378
#64377;BS388-LAPIS-TQ-PERLMUTT;Echtsteine, elastisch, Lapis, Türkis, Perlmutt;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64377
#64376;BS387-TUERKIS-MOP;MOP, Tuerkis und Silberkugel;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64376
#64375;BS387-MOP-ONYX;MOP, Onyx und Silberkugel;6,00€;;NEW;;visible;;190,22,27,6;/64375
#64374;BS387-KATZENAUGE-MOP;MOP, Katzenauge und Silberkugel;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64374
#64373;BS387-KARNEOL-MOP;MOP, Karneol und Silberkugel;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64373
#64372;BS387-GOLDFLUSS-MOP;MOP Goldfluss und Silberkugel;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64372
#64371;BS385-PERLMUTT;Perlmutt, Perlmuttblume, elastisch;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64371
#64370;BS384-PERLMUTTBLUME;Armband elastisch, Perlmuttblume;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64370
#64369;BS383-RQ-PERLMUTT;Armband elastisch, dunkles Rosenquarz Herz, Perlmutt;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64369
#64368;BS383-BF-PERLMUTT;Armband elastisch, Blaufluss Herz, Perlmutt;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64368
#64367;BS382-SWZ-PERIDOT;Echtsteine, Echtperlen, elastisch, Peridot;13,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64367
#64366;BS381-SWZ-MULTICOLOR;Echtperle mit Multisteine, elastisch;7,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64366
#64365;BS380-TG-PERLMUTT;Echtperle, Tigerauge mit Perlmutt, elastisch;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64365
#64364;BS380-RQ-PERLMUTT;Echtperle, Rosenquarz mit Perlmutt, elastisch;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64364
#64363;BS380-GF-PERLMUTT;Echtperle, Goldfluss mit Perlmutt, elastisch;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64363
#64362;BS379-MULTI-PERLMUTT;Echtsteine mit Perlmutt, elastisch;6,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64362
#64361;BS378-UNAKIT-PERLMUTT;Echtsteine Unakit Perlmutt, elastisch;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64361
#64360;BS378-TUERKIS-PERLMUTT;Echtsteine Türkis, Perlmutt, elastisch;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64360
#64359;BS378-RD-AVENTURINROT;Echtsteine Aventurin-Rot, elastisch;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64359
#64358;BS378-ONYX-PERLMUTT;Echtsteine, elastisch, Onyx, Perlmutt;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64358
#64357;BS378-MALACHIT-PERLMUTT;Echtstein, elastisch, Malachit, Perlmutt;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64357
#64356;BS378-LAPIS-PERLMUTT;Echtstein, elastisch, Lapis, Perlmutt;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64356
#64355;BS378-GRTQ-PERLMUTT;Armband elastisch, Echtstein, Grün Türkis Perlmutt;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64355
#64354;BS377-TG-SWZ;Echtsteine, Echtperle, elastisch;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64354
#64353;BS377-SWZ-LABRADORIT;Echtsteine, Echtperle, elastisch;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64353
#64352;BS377-SWZ-UNAKIT;Echtsteine, Echtperle, elastisch;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64352
#64351;BS377-SWZ-ROSENQUARZ;Echtsteine, Echtperle, elastisch;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64351
#64350;BS377-SWZ-PERLMUTT;Echtsteine, Echtperle, elastisch;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64350
#64349;BS377-SWZ-LAPIS;Echtsteine, Echtperle, elastisch;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64349
#64348;BS377-SWZ-AMETHYST;Echtsteine, Echtperle, elastisch;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64348
#64347;BS377-ONYX-SWZ;Echtsteine, Echtperle, elastisch;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64347
#64346;BS377-KARNEOL-SWZ;Echtsteine elastisch, Echtperle, Karneol;9,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64346
#64345;BS376-GF-PERLMUTT;Armband elastisch, Goldfluss, Perlmutt;6,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64345
#64344;BS374-TUERKIS-TUBE;Silbertube mit Tuerkistube;8,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64344
#64343;BS374-LAPIS-SPTUBE;Silbertube, Lapistube + Ball;8,00€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64343
#64342;BS373-UNAKIT-SPTUBE;Unakitkugel, SPTube;8,50€;2,5 mm Kugel;NEW;2023. 11. 30.;visible;;190,22,27,6;/64342
#64341;BS373-TUERKIS-SPTUBE;Tuerkiskugel, SPTube;8,50€;2,5 mm Kugel;NEW;2023. 11. 30.;visible;;190,22,27,6;/64341
#64340;BS373-GRANAT-SPTUBE;Granatkugel, SPTube;8,50€;2,5 mm Kugel;NEW;2023. 11. 30.;visible;;190,22,27,6;/64340
#64339;BS372-WHP-SPTUBE;MOP Kugel, SPTube;8,50€;2,5 mm Kugel;SOLD OUT;;hidden;;190,22,27,6;/64339
#64338;BS372-ONYX-SPTUBE;Onyxkugel, SPTube;8,50€;2,5 mm Kugel;NEW;2023. 11. 30.;visible;;190,22,27,6;/64338
#64337;BS372-MALACHIT-SPTUBE;Malachitkugel, SPTube;8,50€;2.5 mm Kugel;NEW;2023. 11. 30.;visible;;190,22,27,6;/64337
#64336;BS372-LAPIS-SPTUBE;Lapiskugel, SPTube;8,50€;2,5 mm Kugel;NEW;2023. 11. 30.;visible;;190,22,27,6;/64336
#64335;BS372-KARNEOL-SPTUBE;Karneolkugel, SPTube;8,50€;2,5 mm Kugel;NEW;2023. 11. 30.;visible;;190,22,27,6;/64335
#64334;BS372-GRANAT-SPTUBE;Granatkugel, SPTube;8,50€;2,5 mm Kugel;NEW;2023. 11. 30.;visible;;190,22,27,6;/64334
#64333;BS375-BR-PERLMUTT;Armband elastisch, brauner Perlmutt;6,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64333
#64332;BS371-SWZ-MULTI;Multicolor Echtsteine Sterlingkugel;5,50€;;NEW;2023. 11. 30.;visible;;190,22,27,6;/64332
#64331;EH194;Klappcreole Universum;0,00€;Ø: ca. 23 mm;;;hidden;;#NV;/64331
#64330;EP2746ST;V Design;0,00€;Länge: ca. 53 mm;;;hidden;;#NV;/64330
#64329;EP1289ST-M-GP;Kugel Ohrhänger, Matt, GP;0,00€;Ø: ca. 14 mm;;;hidden;;319;/64329
#64328;EP1288ST-M-GP;Kugel Ohrhänger, Matt, GP;0,00€;Ø: 12 mm;;;hidden;;319;/64328
#64327;EP2768-GP;Runde Ohrstecker mit hängender Schaukel, GP;0,00€;Höhe: ca. 17 mm;;;hidden;;#NV;/64327
#64326;EP2768;Runde Ohrstecker mit hängender Schaukel;0,00€;Höhe: ca. 17 mm;;;hidden;;#NV;/64326
#64324;FZ0,40/2PL8L-PK;PK Ankerkette mit diam.;7,00€;40cm;;;visible;;26;/64324
#64323;FOX1,00-2L-GP;Fuchsschwanz Kette, GP;5,50€;40cm;;;visible;;26;/64323
#64322;FOX1,00-2L;Fuchsschwanz Kette;4,75€;40cm;;;visible;;26;/64322
#64321;NP793;Filigran Ornament Kette;11,00€;42+3cm;;;visible;;#NV;/64321
#64319;NP23441P;Smile Kette :);10,50€;42+3cm;NEW;2023. 11. 30.;visible;;190,217;/64319
#64318;NP-C,10697,GP;Collier mit Kreise und Plättchen, Goldplattiert;26,50€;40+5cm;;;visible;;#NV;/64318
#64317;NS162ST-WH-GP;Y-Kette mit WH Zirkonia;18,00€;36,38,40,43cm;;;visible;;#NV;/64317
#64316;BS367ST-UNAKIT;5 Ovale Steine;12,00€;16,5+3,5cm;;;visible;;22,27,6;/64316
#64315;BS367ST-GF-JG;5 Ovale Steine, Goldfluss/Jadegelb;12,00€;16,5+3cm;;;visible;;22,27,6;/64315
#64314;BS367ST-GRAU;5 Ovale Steine, Grau;12,00€;16,5+3cm;;;visible;;22,27,6;/64314
#64313;BS-ECHTESTEINE;3 Halbedelsteine;12,50€;16,5+3cm;;;visible;;22,27,390,6;/64313
#64311;BP357ST-GP;Kugelarmband mit kleinem Plättchen, Goldplattiert;29,50€;44 Kugeln á 4 mm + 1 Kugel 8 mm, elastisch;NEW;2023. 11. 30.;visible;;190,22,27,6;/64311
#64310;BP386ST;Armband mit 5 Plättchen;10,50€;16,5+3cm;;;visible;;22,27,319,6;/64310
#64309;BP421A-GP;Armband mit 3 Wellen im Kreis, Goldplattiert;17,50€;16,5+3cm;;;visible;;22,27,6;/64309
#64308;BP469ST;Armreif zum Öffnen;39,50€;Breite: 10 mm, Innen Ø: 60 mm;NEW;2023. 11. 30.;visible;;190,22,27,6;/64308
#64307;BP468ST;Armreif zum Öffnen;29,50€;Breite: 5 mm, Innen Ø: 55 x 60 mm;NEW;2023. 11. 30.;visible;;190,22,27,6;/64307
#64306;BP467ST;Armreif zum Öffnen, Eckig-Abgerundet;34,50€;Breite: 7 mm, Innen Ø: 60 mm;NEW;2023. 11. 30.;visible;;190,22,27,6;/64306
#64305;BP466ST;Armreif zum Öffnen;29,50€;Breite: 5 mm, Innen Ø: 60 mm;NEW;2023. 11. 30.;visible;;190,22,27,6;/64305
