No.;name;comment;price;sizes;availability;expiry;Visibility;Revise;category;image
#61141;RS929-WH;Herz Steine Ringe;14,50€;52,54,56,58,60,62;NEW;;visible;;#NV;/61141
#61140;PS1305;Anhänger oval mit Stern;5,50€;Höhe 13mm;;;visible;;#NV;/61140
#61139;PS1083-PK;Pinker Zirkonia mit Schlaufe;3,00€;7mm;;;visible;;#NV;/61139
#61138;PS1083-CH;CH Zirkonia mit Schlaufe;3,00€;7mm;;;visible;;#NV;/61138
#61137;PS1083-BLK;Schwarzer Zirkonia mit Schlaufe;3,00€;7mm;;;visible;;#NV;/61137
#61136;PPMD3997-ASB;Schwalbe, Anhänger (Sale);5,50€;24x20mm;SALE;;visible;;347;/61136
#61135;PPMD3996-ASB;Elefant Massiv, Anhänger (Sale);15,00€;ca. 18mm;SALE;;visible;;1,347;/61135
#61133;PP3183;Anker mit Ringöse;3,00€;Höhe 8mm;;;visible;;#NV;/61133
#61132;PP3173-GP;Blume mit Schlaufe;7,00€;17x17mm;;;visible;;#NV;/61132
#61131;PP2545-U;Buchstabe U glänzend mit Ringöse;4,25€;Höhe ca.8mm;;;visible;;#NV;/61131
#61130;PP1272;Kreuz mit Schlaufe;4,75€;Höhe ca. 15mm;;;visible;;321;/61130
#61129;ES866I-OPAL,GP;Opalstecker;16,50€;ø8mm;;;visible;;223;/61129
#61127;ES1136ST;Erdbeere;4,75€;Höhe 13mm;NEW;;visible;;#NV;/61127
#61125;ES1007-BLAUER,OPAL;Stern mit Opal;6,50€;Höhe 8mm;NEW;;visible;;223;/61125
#61123;ES723ST;Erdbeere;7,50€;Höhe ca.14mm;;;visible;;#NV;/61123
#61122;OR6017-GP;Creole diamantiert;8,50€;20x2mm;;;visible;;#NV;/61122
#61121;OR6017;Creole diamantiert;7,50€;20x2mm;;;visible;;#NV;/61121
#61120;OR6016GP;Creole diamantiert;7,50€;15x2mm;;;visible;;#NV;/61120
#61119;OR6016;Creole diamantiert;6,50€;15x2mm;;;visible;;#NV;/61119
#61118;EP2629;Anker Ohrstecker;4,75€;ca. 7mm;NEW;2023. 04. 28.;visible;;#NV;/61118
#61117;EP2627-OXI;Seestern oxidiert;5,50€;Höhe ca. 10mm;NEW;2023. 04. 28.;visible;;#NV;/61117
#61116;EP2627;Seestern;5,50€;Höhe ca. 10mm;NEW;2023. 04. 28.;visible;;#NV;/61116
#61115;EP2619;Anker;4,75€;Höhe 8mm;NEW;2023. 04. 28.;visible;;#NV;/61115
#61114;EP2618-GP;Pendulum;7,00€;12x10mm;NEW;2023. 04. 28.;visible;;319;/61114
#61113;EP2618;Pendulum;6,00€;12x10mm;NEW;2023. 04. 28.;visible;;319;/61113
#61111;EP2593ST;Kreis diamantiert;3,75€;ø5mm;;;visible;;319;/61111
#61110;EP2591ST-GP;Hexagon diamantiert;4,00€;ø4mm;SOLD OUT;;hidden;;319;/61110
#61108;EP-2516;Seepferd;6,25€;ca. 10mm;;;visible;;#NV;/61108
#61107;EP2445;Garnele;5,25€;Höhe: ca. 11mm;;;visible;;#NV;/61107
#61106;EP2408-GP;Ohrstecker Blume;7,00€;11x11mm;SOLD OUT;;hidden;;#NV;/61106
#61105;EP2302;Vogel;5,25€;ca.8x6mm;;;visible;;217;/61105
#61104;EP2090;Seepferdchen;5,00€;Höhe: ca.9mm;;;visible;;#NV;/61104
#61102;EP1793-SP,GP,PKGP;Stern tricolor;11,00€;Höhe: ca.10mm;;;visible;;#NV;/61102
#61101;EP1793;Stern;4,50€;Höhe: ca.10mm;;;visible;;#NV;/61101
#61100;EP1792;Stern;5,50€;Höhe: ca.11mm;;;visible;;#NV;/61100
#61099;EP1791-SP,GP,PKGP;Stern tricolor;11,00€;Höhe: ca.13mm;;;visible;;#NV;/61099
#61098;EP1791;Stern;5,00€;Höhe: ca.13mm;;;visible;;#NV;/61098
#61096;EP1725;Peace, Frieden, Herz;4,00€;Ø: ca.14mm;;;visible;;#NV;/61096
#61095;EP1163;Cobra;4,50€;Höhe: ca.15mm;;;visible;;#NV;/61095
#61094;EP1113;Fliege;5,00€;Höhe: ca.6mm;;;visible;;#NV;/61094
#61093;EP0991;Muschel;4,50€;;;;visible;;#NV;/61093
#61092;EHS23MIX;Klappkreole orange;19,00€;19mm;;;visible;;#NV;/61092
#61091;EHS23;Klappkreole rosa;19,00€;19mm;;;visible;;#NV;/61091
#61090;EH183;Zopfmuster Klappkreole;15,75€;øca.15mm;;;visible;;#NV;/61090
#61089;EH180-G;Klappkreole;13,50€;ca. 13x15mm;;;visible;;#NV;/61089
#61088;EH178;Klappkreole;14,50€;Höhe ca. 17mm;;;visible;;#NV;/61088
#61087;EH166-OXI;Klappkreole;15,50€;ø ca.16mm;;;visible;;#NV;/61087
#61086;EH166;Klappkreole;15,50€;ø ca.16mm;;;visible;;#NV;/61086
#61085;EH162;Igeldesign;23,75€;ca.6x12mm;;;visible;;#NV;/61085
#61084;ESI-7,MONDSTEIN;Mondsteinstecker rund;5,75€;ø 7mm;;;visible;;#NV;/61084
#61083;ESI-9,GRANAT;Granatstecker rund;5,75€;ø 7mm;;;visible;;#NV;/61083
#61082;ESI-6,PERIDOT;Peridotstecker oval;6,50€;9x6mm;;;visible;;#NV;/61082
#61081;ESI-4,LABRADORIT;Labradoritstecker oval;6,50€;9x6mm;;;visible;;#NV;/61081
#61080;ESI-8,LABRADORIT;Labradoritstecker rund;5,75€;ø 7mm;;;visible;;390;/61080
#61079;ESI-10,PERIDOT;Peridotstecker rund;5,75€;ø 7mm;;;visible;;#NV;/61079
