No.;name;comment;sizes;availability;expiry;Visibility;Revise;category;image;price
#47639;PSB14-BERNSTEIN;Biene mit Bernstein;HÃ¶he: ca. 27 mm;SALE;;visible;;222,347;/47639;6,00
#47638;PSB13-BERNSTEIN;Runde Bernstein;Ã˜ 12 mm;SALE;;visible;;222,39;/47638;5,50
#47637;PSB12-BERNSTEIN;Bernstein Oval;HÃ¶he: ca. 15 mm;SALE;;visible;;222,39;/47637;6,50
#47636;PSB11-BERRNSTEIN;Bernstein;HÃ¶he: ca. 36 mm;SALE;;visible;;222,39;/47636;6,50
#47634;PSB08-BERNSTEIN;Bernstein Oval;HÃ¶he: ca. 17 mm;SALE;;visible;;222,39;/47634;9,00
#47633;PSB06-BERNSTEIN,GP;Bernstein, Ã–se vergoldet;HÃ¶he: ca. 30 mm;SALE;;visible;;222,39;/47633;10,50
#47632;PSB05-BERNSTEIN;Navet;HÃ¶he: ca. 33 mm;SALE;;visible;;222;/47632;5,50
#47629;PSB02-BERNSTEIN;6 bunte Bernsteine;HÃ¶he: ca. 47 mm;SALE;;visible;;222,39;/47629;10,50
#47628;PSB01-BERNSTEIN,OXI,DREHBAR (2);Bernstein drehbar;HÃ¶he: ca. 27 mm;SALE;;visible;;222,39;/47628;9,50
#47627;PSB01-BERNSTEIN,OXI ,DREHBAR (3);Bernstein drehbar;HÃ¶he: ca. 27 mm;SALE;;visible;;222,39;/47627;9,50
#47624;RPN03;Drehring tricolor;52,54,56;SALE;;visible;;;/47624;10,00
#47621;RSN35-RUBIN;Drehring mit Rubin;52,54,,55,56;SALE;;visible;;306;/47621;10,00
#47620;RSN35-PERLE;;53;;;visible;;306;/47620;10,00
#47619;RSN35-ONYX;Drehring mit Onyx;52,54,55,57,58,62;SALE;;visible;;306;/47619;10,00
#47618;RSN35-GRANAT;Drehring mit Granat;52,54,55;SALE;;visible;;306;/47618;10,00
#47617;RSN35-AMETHYST;Drehring mit Amethyst;52,54,56,62;SALE;;visible;;306;/47617;10,00
#47604;PS1142-WH-BLK;Krake mit Zirkonia und schwarzen Zirkonia Augen, RingÃ¶se;HÃ¶he: ca.32mm;;;visible;;;/47604;12,50
#47600;PS1059-WH;Kreuz mit Zirkonia und RingÃ¶se;HÃ¶he: ca.15mm;;;visible;;321;/47600;4,00
#47597;PS040-WH;Tropfen/weiss SÃ¼sswasserperle;HÃ¶he: ca.12mm;;;visible;;317;/47597;5,00
#47587;PP2366;Muschel mit RingÃ¶se;HÃ¶he: ca.15mm;;;visible;;;/47587;6,50
#47585;PP1136B;Ochsenkopf mit RingÃ¶se;HÃ¶he: ca.11mm;;;visible;;237;/47585;4,00
#47510;ES939-WH;;HÃ¶he: 14mm;;;visible;;;/47510;8,00
#47506;ES805-OPAL;Ohrstecker mit Opal;Ã˜: 5mm;;;visible;;223;/47506;7,25
#47503;EP1758-M;Hunab Ku Mayan Symbol, Matt, OhrhÃ¤nger (Sale);Ã˜ 17mm;SALE;;visible;;228,303,321;/47503;4,00
#47487;EP1379-GP;Pusteblume, Goldplattiert, Ohrstecker (Set);HÃ¶he: ca.13mm;;;visible;;367;/47487;11,00
#47474;EP1767;Sonnenspirale, Ohrstecker (Set);HÃ¶he: ca.17mm;;;visible;;341;/47474;6,75
#47473;EP0908;Kleine Rosen, Glanz, Ohrstecker (Set);HÃ¶he: ca. 7mm;;;visible;;367;/47473;5,75
#47462;ES805-TUERKIS;;Ã˜: 5mm;;;visible;;217;/47462;6,50
#47460;ES805-ONYX;;Ã˜: 5mm;;;visible;;217;/47460;6,50
#47459;ES805-KORALLE;;Ã˜: 5mm;;;visible;;217;/47459;6,50
#47457;PS1140-WH-GP;Infinity mit Zirkonia und fester Ã–se, Goldplattiert;HÃ¶he: ca.16mm;;;visible;;189;/47457;6,00
#47456;PS1140-WH;Infinity mit Zirkonia und fester Ã–se;HÃ¶he: ca.16mm;;;visible;;189;/47456;5,00
#47455;PS1135-WH;Kleiner AnhÃ¤nger mit fester Ã–se und Zirkonia;HÃ¶he: ca.5mm;;;visible;;189,217;/47455;4,00
#47453;PS1131-WH-GP;Herz mit fester Ã–se und Zirkonia, Goldplattiert;HÃ¶he: ca.13mm;;;visible;;189,217;/47453;4,00
#47452;PS1131-WH;Herz mit fester Ã–se und Zirkonia;HÃ¶he: ca.13mm;;;visible;;189,217;/47452;3,50
#47451;PS1121-WH;Hufeisen mit Zirkonia und fester Ã–se;HÃ¶he: ca. 14mm;;;visible;;189,217;/47451;3,50
#47448;PS1091C-WH;Blume mit Zirkonia und fester Ã–se;ca. 10x10mm;;;visible;;189,217;/47448;4,50
#47446;PS1071B-WH-GP;Runder Zirkonia AnhÃ¤nger mit FestÃ¶se, Goldplattiert;Ã˜: ca.9mm;;;visible;;189;/47446;6,75
#47445;PS1071B-WH;Runder Zirkonia AnhÃ¤nger mit FestÃ¶se;Ã˜: ca.9mm;;;visible;;189;/47445;6,00
#47443;PS1044B-WH-GP;Stern mit Zirkonia und fester Ã–se, Goldplattiert;HÃ¶he: ca.14mm;;;visible;;189,217;/47443;6,00
#47442;PS1044B-WH;Stern mit Zirkonia und fester Ã–se;HÃ¶he: ca.12mm;SOLD OUT;;hidden;;189,217;/47442;5,00
#47439;PS896B-WH;Herz mit Zirkonia und fester Ã–se;HÃ¶he: ca.13mm;;;visible;;189,189;/47439;6,50
#47437;PP2407-GP;Stern mit fester Ã–se, Goldplattiert;HÃ¶he: ca.12mm;;;visible;;189,217;/47437;4,75
#47436;PP2407;Stern mit fester Ã–se;HÃ¶he: ca.12mm;;;visible;;189,217;/47436;3,75
#47434;PP2406-M-GP;Lilie mit fester Ã–se, Matt/Goldplattiert;HÃ¶he: ca.13mm;;;visible;;189;/47434;4,25
#47433;PP2406-M;Lilie mit fester Ã–se, Matt;HÃ¶he: ca.13mm;;;visible;;189;/47433;3,50
#47432;PP2406-G;Lilie mit fester Ã–se, GlÃ¤nzend;HÃ¶he: ca.13mm;;;visible;;189;/47432;3,50
#47431;PP2400;Blume des Lebens mit fester Ã–se;Ã˜: ca.9mm;;;visible;;189;/47431;3,50
#47430;PP2399;Infinity mit fester Ã–se;HÃ¶he: ca.14mm;;;visible;;189;/47430;2,75
#47428;PP2397B-GP;Filigran Blume mit fester Ã–se, Goldplattiert;HÃ¶he: ca.15mm;;;visible;;189;/47428;4,00
#47424;PP2396B;Feder/Blatt mit fester Ã–se;HÃ¶he: ca.19mm;;;visible;;189,217;/47424;4,25
#47340;PS547-STERNFLUSS;;HÃ¶he: 36mm;SALE;;visible;;1;/47340;4,00
#47339;PS547-ONYX;;HÃ¶he: 36mm;SALE;;visible;;;/47339;4,00
#47338;PS547-GOLDFLUSS;;HÃ¶he: 36mm;SALE;;visible;;;/47338;4,00
#47328;PS464A-PK;Quadrat Zirkonia in Pink, AnhÃ¤nger mit fester Schlaufe (Sale);ca.8x8mm;SALE;;visible;;1;/47328;3,00
#47327;PS464A-COF;Quadrat Zirkonia in Cof, AnhÃ¤nger mit fester Schlaufe (Sale);ca.8x8mm;SALE;;visible;;1,1;/47327;3,00
#47326;PS464A-AM;Quadrat Zirkonia in Amethyst, AnhÃ¤nger mit fester Schlaufe (Sale);ca. 8x8mm;SALE;;visible;;1,1;/47326;3,00
#47318;PS340-R;;;SALE;;visible;;;/47318;3,00
#47317;PS340-COF;;;SALE;;visible;;;/47317;3,00
#47316;PS340-CH;;;SALE;;visible;;;/47316;3,00
#47315;PS340-BLK;;;SALE;;visible;;;/47315;3,00
#47314;PS340-AM;;;SALE;;visible;;;/47314;3,00
#47310;PS669-R;Zahn mit rotem Zirkonia;HÃ¶he: ca.32mm;;;visible;;237;/47310;6,50
#47309;PS669-AM;Zahn mit Amethyst Zirkonia;HÃ¶he: ca.32mm;;;visible;;237;/47309;6,50
#47308;PS584-ROSENQUARZ;Zahn in Rosenquarz, Dreieck Kappe mit Zirkonia, AnhÃ¤nger (Sale);HÃ¶he: ca.37mm;SALE;;visible;;;/47308;4,00
#47297;PS541-ROSENQUARZ;;35mm;SALE;;visible;;;/47297;4,00
#47296;PS541-PERLMUTT;;HÃ¶he: ca. 35mm;SALE;;visible;;237;/47296;4,00
#47295;PS541-KATZENAUGE;;HÃ¶he: ca. 35mm;SALE;;visible;;;/47295;4,00
#47294;PS541-JADE;;HÃ¶he: ca. 35mm;SALE;;visible;;237;/47294;4,00
#47293;PS541-HEMATITE;;HÃ¶he: ca. 35mm;SALE;;visible;;237;/47293;4,00
#47288;PS359-WH;Zirkonia mit Schlaufe;ca. 12x12mm;;;visible;;;/47288;6,00
#47287;PS359-PK;Pink Zirkonia mit Schlaufe;ca. 12x12mm;;;visible;;;/47287;6,00
#47286;PS359-LG;HellgrÃ¼ner Zirkonia mit Schlaufe;ca. 12x12mm;;;visible;;;/47286;6,00
#47284;PS359-CH;CH Zirkonia mit Schlaufe;ca. 12x12mm;;;visible;;;/47284;6,00
#47283;PS359-BLK;Schwarzer Zirkonia mit Schlaufe;ca. 12x12mm;;;visible;;;/47283;6,00
#47248;PS421-BLK;Herz mit schwarzen Zirkonia-Steinchen, AnhÃ¤nger (Sale);HÃ¶he: ca.21mm;SALE;;visible;;335;/47248;5,00
#47245;PS368-PK;Pink Zirkonia, AnhÃ¤nger (Sale);ca. 12x16mm;SALE;;visible;;;/47245;5,00
#47171;CPP00311-WH;Zirkonia;HÃ¶he: ca.40mm;WHILE STOCKS LAST;2023. 07. 29.;visible;;228,22,27,6;/47171;4,00
#47170;CPP00311-PK;Zirkonia;HÃ¶he: ca.40mm;WHILE STOCKS LAST;;visible;;228,22,27,6;/47170;4,00
#47168;CPP00311-COF;Zirkonia;HÃ¶he: ca.40mm;WHILE STOCKS LAST;2023. 10. 31.;visible;;228,22,27,6;/47168;4,00
#47167;CPP00311-CH;Zirkonia;HÃ¶he: ca.40mm;WHILE STOCKS LAST;2023. 10. 31.;visible;;228,22,27,6;/47167;4,00
#47166;CPP00311-AM;Zirkonia;HÃ¶he: ca.40mm;WHILE STOCKS LAST;2023. 09. 30.;visible;;228,22,27,6;/47166;4,00
#47165;PS1138ST-SHIVAAUGE;Oval, Shiva-Auge, AnhÃ¤nger mit Schlaufe (Set);HÃ¶he: ca.13mm;;;visible;;323;/47165;3,00
#47164;PS1106I-TUERKIS;AnhÃ¤nger TÃ¼rkis, rund mit Schlaufe;Ã˜ 10mm;;;visible;;;/47164;6,50
#47163;PS1106I-ONYX;Onyx Rund;Ã˜ ca.10mm;;;visible;;;/47163;6,00
#47162;PS1106I-KORALLE;AnhÃ¤nger rund, Koralle mit Schlaufe;Ã˜: ca. 10mm;;;visible;;;/47162;7,00
#47161;PS999-WH;Schmetterling mit Zirkonia, AnhÃ¤nger mit Schlaufe;HÃ¶he: ca.18mm;;;visible;;;/47161;7,50
